"Pueblos indios, élites y territorio. Sistemas de dominio regional en el sur de México: una historia política de Oaxaca","Bailón Corres, Moisés Jaime"
"Juan Ruiz de Alarcón ante la crítica, en las colecciones y en los acervos documentales","Peña, Margarita"
Ferrocarriles y obras publicas,"Kuntz Ficker, Sandra"
"El principio, 1968-1988: años de rebeldía","Pérez Arce Ibarra, Francisco"
Historia de la revolución en Tabasco. Tomo I,"Taracena, Alfonso"
Ajuste económico y política social en México,"González Tiburcio, Enrique"
Fox & Co.: biografía no autorizada,"Granados Chapa, Miguel Ángel"
Entre el poder y la revolución: el gobierno interino de Francisco León de la Barra,"Ávila Espinosa, Felipe Arturo"
La revolución en Chiapas. Índice de documentos existentes en el archivo General de la Nación de la Ciudad de México: fondo: Francisco I. Madero,"Ruiz Abreu, Carlos"
Hacia una historia latinoamericana: homenaje a Álvaro Jara ,"Quiroz, Enriqueta (Coord.)"
La montaña en el paisaje ritual,"Broda, Johanna (Coord.)"
Fuentes hemerográficas jaliscienses para el estudio de la revolución mexicana,"Vaca, Agustín"
Alfabeto y enseñanzas domesticas: el arte de ser maestra rural en el Valle del Mezquital,"López, Oresta"
Elecciones en el México del siglo XIX: las prácticas. Tomo I,"Gantús, Fausta (Coord.)"
Elecciones en el México del siglo XIX: las prácticas. Tomo II,"Gantús, Fausta (Coord.)"
Contribución a un dialogo abierto: cinco ensayos de historia electoral latinoamericana,"Gantús, Fausta (Coord.)"
"Cuando las armas hablan, los impresos luchan, la exclusión agrede…violencia electoral en México, 1812-1912","Gantús, Fausta (Coord.)"
Jerónimo Arango: un empresario moderno,"Herrero, Carlos"
Prensa y elecciones: formas de hacer política en el México del siglo XIX,"Gantús, Fausta"
Elecciones en el México del siglo XIX,"Gantús, Fausta"
"Pensar, ser y hacer feminismo en Jalapa, Veracruz: voces desde la experiencia y la disidencia","Juárez Cortés, Jessica Viridiana"
"Pensar, ser y hacer feminismo en Jalapa, Veracruz: voces desde la experiencia y la disidencia","Juárez Cortés, Jessica Viridiana"
"Activismos políticos contemporáneos: juventudes, movilizaciones y comunicación en Guadalajara","Avalos, González, Juan Manuel"
"Activismos políticos contemporáneos: juventudes, movilizaciones y comunicación en Guadalajara","Avalos, González, Juan Manuel"
"La Comisión Nacional de Libros de Texto Gratuitos en el sexenio del presidente Adolfo López Mateos, 1959-1964","Hernández Luna, Juan"
Episodios mexicanos: México en la hoguera,"Gill, Mario"
México en un himno: génesis e historia del Himno Nacional Mexicano,"Cid y Mulet, Juan"
México a la luz del pensamiento obrero: historia contemporánea 1910,"Ortega Arenas, Juan"
Universidad Nacional y Economía,"Blanco, José (Coord.)"
"Estados Unidos: intervención y poder mesiánico. La guerra fría en Guatemala, 1954","Valdés Ugalde, José Luis"
Obra educativa: estructura de la educación en México. Vol. III,"Lombardo Toledano, Vicente"
El pensamiento político de Octavio Paz: las trampas de la ideología,"Rodríguez Ledezma, Xavier"
"El periódico El Imparcial: primer diario moderno de México, 1896-1914",García Clara Guadalupe
"Sistemas hidráulicos, modernización de la agricultura y la migración","Viqueira Landa, Carmen (Coord.)"
Jornada México Centroamérica por la diversidad cultural: realizada con motivo del Día Mundial de la Diversidad Cultural para el Dialogo y el Desarrollo,----------
Phantom Crown the story of Maximiliano and Carlota of Mexico,"Harding, Bertita"
Pesquisa de figuras,"Bustos Cerecedo, Miguel"
Paralelo 33: la vida más acá,"Justo Sierra, Carlos"
"La transformación de la Procuraduría General de Justicia del Estado de Guanajuato, 1984-1985","García Domínguez, Miguel Ángel"
Colima: presencia política,"Zamora Verduzco, Elías"
"Y México se refugió en el desierto, Luis Terrazas: historia y destino","Fuentes Mares, José"
"Los Agustinos, aquellos misioneros hacendados: historia de la provincia de san Nicolas de Tolentino de Michoacán, escrita por Fray Diego de Basalenque","Moreno García, Heriberto"
Els exiliats catalans: un estudio de la emigración republicana española en México,"Pla Brugat, Dolores"
El Tratado Mon Almonte,"Cue Canovas, Agustín"
"Anales del cine en México, 1895-1911. 1904: el cine y la publicidad  ","Leal, Juan Felipe"
La guerra de independencia,"Lazcano y Ochoa, Jesús"
Estructura funcional de la red de ciudades de México,"Garrocho Rangel, Carlos"
"Actores sociales, actores locales: algunas hipótesis de trabajo","Lorenzo Ríos, María Dolores (Coord.)"
"Actores sociales, actores locales: algunas hipótesis de trabajo","Lorenzo Ríos, María Dolores (Coord.)"
"Braceros: la mirada mexicana y estadounidense, antología, 1945-1964","Durand, Jorge"
Permanencia en el tiempo: antropología de la historia en la comunidad purhépecha de Sevina,"Muñoz Morán, Óscar"
"Ensayos críticos de Derechos Humanos: tesis, imperativos y derivas","Arias Marín, Alán"
Algunos conceptos fundamentales para el nacimiento de los derechos humanos: Fernando Vázquez de Menchaca,"Rodríguez Moreno, Alonso"
"La flor de lis: entre vientos y tormentas. Historia de los scouts en México, 1913-1941","Ponce S., Ramón"
México y Japón: a 130 años de relaciones diplomáticas,"Almada, Carlos"
"Testimonios Legislativos: historia parlamentaria de los congresos mexicanos, Cámara de Senadores, Actas correspondientes al I Congreso Constitucional, 1844.  Tomo I. Vol. 1","Alvarado Gómez, Antonio (Comp.)"
"Testimonios Legislativos: historia parlamentaria de los congresos mexicanos, Cámara de Senadores, Actas correspondientes al I Congreso Constitucional, 1844.  Tomo I. Vol. 2","Alvarado Gómez, Antonio (Comp.)"
"Carlos Trejo Lerdo de Tejada, pensamiento de un gran patriota: textos y documentos","Luna Parra y Trejo Lerdo, Adriana"
"La consumación de la independencia y la instauración de la República Federal, 1820-1824: los proyectos de constitución para México. Tomo 1","Calvillo, Manuel"
"Don Porfirio presidente…, nunca omnipotente: hallazgos, reflexiones y debates, 1876-1911","Falcón, Román (Comp.)"
"México: la gran rebelión, 1905-1924","Ruíz, Ramón Eduardo"
Visiones del porfiriato: visiones de México,"Lloyd, Jane-Dale (Coord.)"
"Un porfirista de siempre Victoriano Salado Álvarez, 1867-1931","Vital, Alberto"
Pancho Villa,"Vives, Pedro A."
Jaque mate al crimen organizado. Coahuila: una estrategia multidimensional para la paz,"Aguilar Valenzuela, Rubén"
Francisco I. Madero apóstol de la democracia mexicana,"Ross, Stanley R."
"Jean Meyer el sinarquismo, el cardenismo y la iglesia, 1937-1947 ","Meyer, Jean"
Gobierno y casinos: el origen de la riqueza de Abelardo L. Rodríguez,"Gómez Estrada, José Alfredo"
Gustavo A. Madero: epistolario,"Solares, Ignacio (selección y prólogo)"
El prosperato: el juego de equilibrios de un gobierno estatal: Tlaxcala de 1885 a 1911,"Rendón Garcini, Ricardo"
Encuesta sobre migración en la frontera sur de México: indicadores históricos (2004-2020),Instituto Nacional de Migración
Encuesta sobre migración en la frontera sur de México: indicadores históricos (2004-2020),Instituto Nacional de Migración
Encuesta sobre migración en la frontera norte de México: indicadores históricos (1995-2020),Instituto Nacional de Migración
Encuesta sobre migración en la frontera norte de México: indicadores históricos (1995-2020),Instituto Nacional de Migración
"Diagnóstico de seguimiento al Pacto Mundial sobre Migración en México, 2018-2022",Instituto Nacional de Migración
"Diagnóstico de seguimiento al Pacto Mundial sobre Migración en México, 2018-2022",Instituto Nacional de Migración
¿Dónde está la carta de López Mateos? El escrito fantasma que cita el presidente,"López Obrador, Andrés Manuel"
"Identidades de Puebla: esencia de mexicanidad. José Agustín Arrieta, 1802-1874 ensayo","Palou, Pedro Ángel"
La República laica en: laicidad y democracia ,"Monsiváis, Carlos"
"Orgullo y modelo del Ejército Nacional Mexicano en: Campo de Marte revista de temas de seguridad, defensa, marina e inteligencia","Gómez, Arnulfo R."
